,,What is the average temperature at Tianchi Lake?,The annual average temperature at Tianchi Lake is around 24 Â°C with the monthly average temperature ranging from -115 Â°C January to 155 Â°C July,,,
,,What kind of data was collected from the Tianchi Meteorological Station?,"Data collected from the Tianchi Meteorological Station included precipitation, temperature, wind speed and wind direction on an hourly basis from 1981 to 2021",,,
,,What methods were used to measure dissolved inorganic cations and inorganic anions?,"Dissolved inorganic cations and inorganic anions were measured using an ion chromatography system IC-940 Vario, Swiss",,,
,,How was the concentration of total nitrogen and total phosphorus measured?,"The concentrations of total nitrogen TN and total phosphorus TP were measured by UV spectrophotometry UV722S, China following oxidization with alkaline potassium persulfate",,,
,,What is the equation for monthly dry deposition flux?,"The equation for monthly dry deposition flux is FD = CdV A Ã— 103, where FD is the monthly dry deposition flux kg haâˆ’1; Cd is the concentration of examined elements in dry deposition samples rinsed with 500 ml ultrapure water mg L-1; V is the volume of dry deposition collection fluid L; and A is the surface area of the deposition collectors m2",,,
,,What is the Enrichment Factor EF?,"The Enrichment Factor EF is the rate of elemental concentrations in precipitation to corresponding element concentrations in seawater and soil, used to identify and examine the origins and contributions of elements",,,
,,How is the sea salt fraction SSF calculated?,The sea salt fraction SSF is calculated by 100 x X/Na+sea divided by X/Na+rain,,,
,,What meteorological data was used to simulate the backward trajectories in the HYSPLIT model?,The meteorological data used to simulate the backward trajectories in the HYSPLIT model was the global meteorological data of 1â—¦Ã—1â—¦ from NCEPâ€™s Global Data Assimilation System,,,
,,What is the arrival height of the backward trajectories that were generated?,The arrival height of the backward trajectories that were generated is 2000 meters,,,
,,"What were the wet and dry deposition fluxes of TN, NH+4-N, NOâˆ’3-N and TP in the semi-arid region of China?","The wet deposition fluxes of TN, NH+4-N and NOâˆ’3-N were 1657, 522 and 937 kg N haâˆ’1 yrâˆ’1,respectively The dry deposition fluxes of TN, NH+4-N and NOâˆ’3-N were 754, 225, and 462 kg N haâˆ’1 yrâˆ’1,respectively The wet and dry deposition fluxes of TP were 051 and 033 kg P haâˆ’1 yrâˆ’1, respectively",,,
,,What is the highest dry deposition rate of TN and TP for dry deposition samples?,"The highest dry deposition rate of TN and TP for dry deposition samples is 3403% and 4410%, respectively",,,
,,Why is the highest dry deposition rate of TN and TP higher in winter?,The highest dry deposition rate of TN and TP is higher in winter due to the prolonged residency time of ambient aerosols which promote nutrient accumulation as well as poor air quality in the cities around Tianchi Lake due to large-scale coal heating,,,
,,What are the sources of TDN and TDP in the precipitation?,"TDN in precipitation mostly originated from anthropogenic sources, while TDP was primarily from anthropogenic sources and secondarily from soils",,,
,,What air masses affect the study area?,Air masses affecting the study area were classified as continental category and mostly originated from the west and northwest,,,
,,What percentage of air masses in summer originated from western Kazakhstan?,7750 % of the total air masses in summer originated from western Kazakhstan Cluster02 and Cluster03,,,
,,What are the possible sources of atmospheric particulate matter in the Tianshan Mountains?,"Long-distance air masses from the arid regions of Central Asia could provide abundant atmospheric particulate matter, and sources may include fossil fuels, mining and processing, and sandstorms in Central Asia Dou et al, 2022; Liu et al, 2011",,,
,,What type of air masses passed through the urban area?,Air masses from the local characterized by low frequency and short distance passed through the urban area,,,
,,What have been the temporal trends of water quality from 2015 to 2021?,"The concentration of Total Phosphorus TP remained at relatively low level with an average concentration of 0017 mg L-1 The concentrations of Total Nitrogen TN and Dissolved Inorganic Nitrogen DIN ranged from 103 to 167 mg L-1 and 082 to 148 mg L-1, respectively, with an average concentration of 126 and 109 mg L-1",,,
,,How did the TN concentration in Tianchi Lake change from 2015 to 2021?,The TN concentration showed a statistically significant upward trend with an average annual growth rate of 006 mg L-1 p ï¼œ 0001 from 2015 to 2021,,,
,,How did the maximum chlorophyll-a concentration normally occur?,The maximum chlorophyll-a concentration generally occurred in summer 366 Î¼g L-1 due to the higher air temperature,,,
,,"What were the correlation coefficients between chlorophyll-a and TP, DIN and TN?","The correlation coefficients between chlorophyll-a and TP, DIN and TN were 065, 062 and 051 respectively",,,
,,What is the allowable external nutrient load for different guarantee probabilities?,The allowable external nutrient load for different guarantee probabilities is 12776 t for TN and 171 t for TP,,,
,,What is the annual temperature trend at Tianchi Lake 1981-2021?,The annual temperature of Tianchi Lake showed a significant increasing trend with a warming rate of 022 â—¦C per decade,,,
,,What is the main cycle of the air temperature at Tianchi Lake?,"The main cycle of the air temperature at Tianchi Lake is 12 years, with a 6-year periodicity on this timescale and alternation of positive phase and negative phase",,,
,,What were the mean temperature in the study area?,"The mean temperature in the study area were 1320, 1545, and 1452 â—¦C during June, July, and August respectively",,,
,,What did the field investigation by the Tianchi Environmental Monitoring Station reveal?,The field investigation by the Tianchi Environmental Monitoring Station revealed that the phytoplankton began to increase over large areas in the lake,,,
,,What did the researchers use as the dividing line between the two different periods of observation?,The researchers used the year 2006 when the blooms first appeared as the dividing line of time,,,
,,How were heat waves defined in the study?,Heat waves were defined as when temperature exceeded a threshold for more than specific consecutive days,,,
,,How does the nitrogen deposition rate of Tianchi Lake compare to the Urumqi urban area and the glacier at the headwaters of the Urumqi River?,The annual TN deposition rate of Tianchi Lake 2561 kg N ha-1 yr-1 is of the same order of magnitude as that of the Urumqi urban area 4580 kg N ha-1 yr-1 but obviously higher than that of a glacier at the headwaters of the Urumqi River 385 kg N ha-1 yr-1,,,
,,How does Tianchi Lake compare to other remote alpine lakes in terms of atmospheric deposition?,"Tianchi Lake has a distinctive feature of its proximity to an urban agglomeration, about 40 km away from Urumqi, resulting in the changes in the type and severity of atmospheric deposition The N inputs from atmospheric deposition to",,,
,,What is the N deposition rate of Tianchi Lake?,The N deposition rate of Tianchi Lake is 80 kg N ha-1 yr-1,,,
,,How does the P deposition rate of Tianchi Lake compare to other areas?,"The P deposition rate of Tianchi Lake 084 kg P ha-1 yr-1 is higher than Hachiman-Numa Lake in Japan 04 kg P ha-1 yr-1, Emerald Lake in Sierra Nevada of California 014 kg P ha-1 yr-1, and the global average deposition rates 027 kg P ha-1 yr-1",,,
,,What region does air mass often come in direct contact with the crust?,Direct contact between air mass and crust generally occurs in the semi-arid region with severe soil erosion and land degradation,,,
,,What is the percentage of phosphorus deposition in wet deposition originated from crustal sources?,3356 % of P deposition in wet deposition is originated from crustal sources,,,
,,What is the definition of critical nutrient load?,Critical nutrient load is defined as the amount of nutrients that an ecosystem can safely receive before there are changes in state or function of ecosystem,,,
,,What is the current nutrient load according to preset nutrient management?,The current nutrient load is between 30% and 40% guarantee probabilities,,,
,,What could be the possible explanation for the higher than expected phytoplankton biomass in Tianchi Lake?,"The possible explanations for the higher than expected phytoplankton biomass in Tianchi Lake could be the phytoplanktonâ€™s ability to maintain reproduction even with low P quotas, or nutrient enrichment has met the resource requirements to drive the biomass response and additional mediating factors may be relevant for phytoplankton growth",,,
,,How does the DINTP ratio indicate the magnitude of biomass response to the nutrient limitation?,"The DINTP ratio does not indicate the magnitude of biomass response to the nutrient limitation, as it is hard for the DIN TP ratio to indicate this",,,
,,What is the aim of Goal 63 of Sustainable Development Goals SDGs?,The aim of Goal 63 of Sustainable Development Goals SDGs is to reduce water pollutants in order to achieve the water quality improvement and sustainable water security,,,
,,How can nutrients remain within the alpine aquatic ecosystems for a longer period of time?,Nutrients can remain within the alpine aquatic ecosystems for a longer period of time due to long slow flushing rates and nature-based nutrients reduction,,,
,,What is the correlation between average annual temperature and annual chlorophyll-a concentration in Tianchi Lake?,"The correlation between average annual temperature and annual chlorophyll-a concentration in Tianchi Lake is weak, either for average concentrations R2 = 013 or maximum concentrations R2 = 011",,,
,,What are the conditions for phytoplankton bloom in Tianchi Lake?,The conditions for phytoplankton bloom in Tianchi Lake are temperatures above 16 Â°C and dominance of Bacillariophyta species in species and biomass during growing season,,,
,,What is the correlation between chlorophyll concentration and heat waves?,"There is a positive correlation between chlorophyll concentration and heat waves, which explained 42 % of the variability in maximum chlorophyll concentration p ï¼œ 005",,,
,,What are the impacts of heat waves on the Tianchi Lake?,"Heat waves may lead to the acceleration of the eutrophication process of Tianchi Lake, which may cause harmful phytoplankton blooms and high concentration of algae toxins, posing a significant threat to water quality security",,,
,,What is the dominant species of phytoplankton in Tianchi Lake?,The dominant species of phytoplankton in Tianchi Lake are Bacillariophyta,,,
,,What is the Sustainable Development Goal related to mountain regions in the 2030 Agenda?,The Sustainable Development Goal related to mountain regions in the 2030 Agenda is Goal 15 for preserving the key global resources,,,
,,What is the source of atmospheric nutrient deposition in Tianchi Lake?,"The sources of atmospheric nutrient deposition in Tianchi Lake include urban and industrial pollutions, dust from semi-arid regions of Central Asia, wet deposition from anthropogenic sources, and dry deposition from both anthropogenic sources and dust sources",,,
,,How does the high flux of atmospheric deposition affect the water quality of Tianchi Lake?,The high flux of atmospheric deposition in,,,
,,What were the critical nutrient concentrations of Tianchi Lake?,The critical nutrient concentrations of Tianchi Lake were defined as 109 mg L-1 TN and 0014 mg L-1 TP,,,
,,What was estimated to be the current nutrient loads of Tianchi Lake?,The current nutrient loads of Tianchi Lake were estimated to be higher than the critical loads and ranged from 30 %to 40 % of the water quality guarantee probability,,,
,,What was the temperature change in the past 40 years?,The air temperature had increased by 022 â—¦C per decade in the past 40 years,,,
,,When did phytoplankton blooms first appear in Tianchi Lake?,The first appearance of phytoplankton blooms in Tianchi Lake corresponded to the beginning of the warm period,,,
,,What did Fei Han contribute to the authorship of the paper?,"Fei Han contributed to Conceptualization, Methodology, Investigation, Data curation, Formal analysis and Writing â€“ original draft",,,
,,Who provided the funding for the project?,"The project was supported by the Third Xinjiang Scientific Expedition Program Grant NO 2021XJKK1400, the National Natural Science Foundation of China Grant No 42071245, the Strategic Priority Research Program of the Chinese Academy of Sciences, Pan-Third Pole Environment Study for a Green Silk Road Grant No XDA20060301, K CWong Education Foundation GJTD-2020-14, CAS International Partner Project Grant No 131965KYSB20200029 and CAS Research Center for Ecology and Environment of Central Asia Grant No Q",,,
,,What help did Tianchi Environmental Monitoring Station provide?,The staff of Tianchi Environmental Monitoring Station provided precious help in sampling and fieldwork,,,
,,Who supported the implementation of this study?,The Chinaâ€“Pakistan Joint Research Center on Earth Sciences supported the implementation of this study,,,
,,What is the research focus of F Han et al?,F Han et al examined the empirical critical loads of atmospheric nitrogen deposition for nutrient enrichment and acidification of sensitive US Lakes,,,
,,What was the conclusion of Bartosiewicz et al?,Bartosiewicz et al concluded that climate change and episodic heat events had an effect on cyanobacteria in a eutrophic polymictic lake,,,
,,What response can phytoplankton have to nitrogen and phosphorus enrichment?,Phytoplankton can have an increased growth response to nitrogen and phosphorus enrichment in unproductive Swedish lakes along a gradient of atmospheric nitrogen deposition,,,
,,What are the sources of nitrogen and phosphorus in the Himalayan forest?,"The sources of nitrogen and phosphorus in the Himalayan forest include seasonality, aerosols collected at Himalayan forest 3326 m asl, as well as Lake Taihu in eastern China",,,
,,What are the effects of oligotrophication on primary production in peri-alpine lakes?,"Finger, Wueest, and Bossard 2013 found that oligotrophication has a positive effect on primary production in peri-alpine lakes, as shown by the increased chlorophyll a concentration",,,
,,What is the goal of the Global Nitrogen Cycle in the 21st Century?,Fowler et al 2013 aim to understand the impact of anthropogenic nitrogen emissions on the Earthâ€™s nitrogen cycle and how it could affect ecosystem processes and human health,,,
,,What is the title of Gibson G et al 2000 article?,The title of Gibson G et al 2000 article is Nutrient Criteria Technical Guidance Manual Lake and Reservoirs,,,
,,What are some of the findings of Haddout et al 2018?,Haddout et al 2018 found that Moroccan lakes were thermally responsive to climate warming and suggested a warming trend in the future,,,
,,Freshwater Biol What are the implications of spatial identification of critical nutrient loads of large shallow lakes in Lake Taihu China?,The implications of spatial identification of critical nutrient loads of large shallow lakes in Lake Taihu China are improved management of water quality and water resources,,,
,,"Global Change Biol What are the primary drivers of recent changes in Cladoceran and primary production in remote alpine lakes of Sierra Nevada, Spain?","The primary drivers of recent changes in Cladoceran and primary production in remote alpine lakes of Sierra Nevada, Spain are climate change and Saharan dust",,,
,,J Geophys Res-Atmos What is the purpose of sea-salt corrections in marine precipitation?,The purpose of sea-salt corrections in marine precipitation is to improve the,,,
,,"What year was the article Kopacek, J, Hejzlar, J, Kana, J, Norton, SA, Stuchlik, E published?","The article Kopacek, J, Hejzlar, J, Kana, J, Norton, SA, Stuchlik, E was published in 2015",,,
,,What was the title of the article?,The title of the article is Effects of Acidic Deposition on In-Lake Phosphorus Availability A Lesson from Lakes Recovering From Acidification,,,
,,,,,,
,,What sites were studied in the arid environment of Central Asia?,The study focused on two sites in the arid environment of central Asia,,,
,,What was recorded in the high-resolution trace element records from the ice core from the eastern Tien Shan?,The high-resolution trace element records from the ice core from the eastern Tien Shan recorded atmospheric nitrogen deposition since 1953 AD,,,
,,What is the research topic of the paper by Lu et al 2017?,"The research topic of the paper by Lu et al 2017 is the response of the phytoplankton community to water quality in a local alpine glacial lake of Xinjiang Tianchi, China and the potential drivers and management implications",,,
,,What was the research methodology employed by Lu et al 2017?,"Lu et al 2017 employed water quality monitoring, field surveys, and data analyses to conduct their research on the response of the phytoplankton community to water quality",,,
,,What is the primary topic of the paper by Lu,,,,
,,What study do Preston et al 2016 conduct?,Preston et al 2016 conduct a study to determine how climate regulates alpine lake ice cover phenology and aquatic ecosystem structure,,,
,,What data is used in the study?,The study uses Geophys Res Lett data from 43 10,,,
,,What are the two methods Reimann and de Caritat 2005 used to distinguish between natural and anthropogenic sources for elements in the environment?,Reimann and de Caritat 2005 used regional geochemical surveys and enrichment factors to distinguish between natural and anthropogenic sources for elements in the environment,,,
,,What is the source of their data?,The source of their data is Sci Total Environ 337 1â€“,,,
,,Stein et al 2015 What is NOAA's HYSPLIT modeling system?,NOAA's HYSPLIT Hybrid Single-Particle Lagrangian Integrated Trajectory modeling system is a numerical atmospheric transport and dispersion simulator that is useful for short-term and long-term simulations of air pollutants,,,
,,Taylor 1964 What type of elements are found in the continental crust?,"The continental crust contains a variety of elements, including major elements such as sodium, potassium, calcium, magnesium, and aluminum, as well as minor elements such as iron, manganese, cobalt, zinc, cadmium, and lead",,,
,,What are the effects of increasing anthropogenic dust deposition on mountain lakes in Japan?,"Increasing anthropogenic dust deposition can lead to a process called eutrophication, which can cause excessive growth of aquatic plants This can result in depleted oxygen levels in the lake's water, resulting in a decreased level of biodiversity and an imbalance in the lake's ecosystem",,,
,,What is the 2030 Agenda for Sustainable Development?,"The 2030 Agenda for Sustainable Development is an action plan developed by the United Nations General Assembly in 2015 with the stated purpose of transforming the world This agenda is designed to provide a framework for environment and social sustainability in areas such as poverty, health, education, and climate change",,,
,,What are the main goals of global sustainable fisheries?,The main goal of global sustainable fisheries is to achieve the UN Sustainable Development Goals,,,
,,What is the quantitative method used to simulate lake fish catch balance?,"The quantitative method used to simulate lake fish catch balance is a coupled humanâ€“ecosystem model, which is used in the Tongyu Lake catchment located in northeast China",,,
,,What are the effects of climate and landuse change on fish catch?,"Previous studies have mainly focused on the effects of climate and landuse change on fish catch, lacking a systematic understanding of the driving mechanisms and restriction threshold value, especially in high-latitude lakes",,,
,,What are the key factors resulting in the reduction of fish catch?,"The key factors resulting in the reduction of fish catch are air temperature and agricultural land use, while relative humidity index may only play a minor role",,,
,,How can food security be achieved by 2030?,Food security can be achieved by 2030 through the UN Sustainable Development Goals SDGs,,,
,,What are the challenges associated with the sustainability of fisheries?,"The sustainability of fisheries is challenged by degradation and loss of fishery habitats, as well as changes in lake environmental conditions due to climate and land use changes",,,
,,How does the temperature difference between different seasons in high latitude regions impact fishery production?,"The temperature difference between different seasons in high latitude regions is large, and the impact pattern on fishery production is obviously different from that in temperate regions",,,
,,What is the current state of research regarding the impact of global warming on fish catch?,The current studies of the direction and extent of the impact of global warming on fish catch also show controversial results,,,
,,Where is The High-tech North District located?,"The High-tech North District is located at 4888 Sheng Bei Street, Changchun 130102, China",,,
,,What are the effects of extreme drought on lake algal blooms?,Extreme drought can promote lake algal blooms through nutrients concentration and increasing the retention time,,,
,,What kind of environmental changes are caused by agricultural land expansion?,Agricultural land expansion typically leads to increasing nutrient loads into the lake and can result in the deterioration of lake water quality and reduce fish catch,,,
,,How can the impact of climate and land use change on the fishery production be assessed in high-latitude agricultural areas?,"In order to assess the impact of climate and land use change on the fishery production in high-latitude agricultural areas, it is necessary to explore state of the art technology and use relatively lower spaceâ€“time resolutions to quantify the impact",,,
,,What kinds of data can be acquired from satellite remote sensing?,"Satellite remote sensing can acquire large amounts of continuous environmental data, while also dealing with complex factors lacking prior knowledge It can link the relationship between land use and lake water environmental parameters, and water temperature and hydrological conditions can also be monitored",,,
,,What are the advantages and disadvantages of the coupled hydrological-ecological model?,"The coupled hydrological-ecological model is a traditional method to quantify the impact of changes in water environmental factors on fish catch; however, this demands a large number of observation data as inputs which is not suitable for the remote regions which lack historical in-situ observations Furthermore, the construction of traditional hydrological-ecological model needs to be based on biochemical reaction processes with clear reaction mechanisms",,,
,,What kind of lake has been selected as the representative case study?,"Chagan Lake, a large shallow lake located in high-latitude agricultural regions, has been selected as the representative case study",,,
,,How has fish catch in Chagan Lake been affected over the past 15 years?,Fish catch in Chagan Lake has decreased by 35% between 2004 and 2019,,,
,,Where is Chagan Lake located?,"Chagan Lake is located in Northeast China 124â—¦03â€²-124â—¦34â€²E, 45â—¦09â€²-45â—¦30â€²N",,,
,,What is the average water depth of Chagan Lake?,"The average water depth of Chagan Lake is 25 m Liu et al, 2021",,,
,,What data sets are collected in this study?,"This study collects various datasets including meteorological data, hydrological data, water quality data, remote sensing data, and socioeconomic data",,,
,,What are the parameters measured in monthly water quality samplings?,"Parameters measured in monthly water quality samplings include water temperature, pH, dissolve oxygen, and Secchi disk depth",,,
,,"What were the parameters analyzed at the Institute of Agricultural Ecology, Northeast Geography of the Chinese Academy of Sciences?","The parameters analyzed at the Institute of Agricultural Ecology, Northeast Geography of the Chinese Academy of Sciences were total nitrogen TN, total phosphorus TP, chlorophyll-a Chl-a, Chemical Oxygen Demand COD and total suspend solid TSS",,,
,,What sources were the remote sensing data used in this study collected from?,The remote sensing data used in this study were collected from the US Geological Survey USGS and Jilin Province Statistics Bureau https//tjjjlgovcn,,,
,,What data were used in the study?,"The data used in the study were Landsat surface reflectance data, which have been systematically corrected for atmosphere and terrain",,,
,,How did the study verify the accuracy of the dataset?,"The study verified the accuracy of the dataset by collecting ground sample points, utilizing a random forest model and a feature optimization algorithm, and calculating a confusion matrix via ground sample points",,,
,,What is the source of China Meteorological Data Center?,China Meteorological Data Center is obtained from https//datacmacn/,,,
,,What data is included in the Socioeconomic data?,"Socioeconomic data includes total population, non-agricultural population, agricultural population, rice area, corn area, fish catch, etc from China Statistical Yearbook",,,
,,What is a Non-Point Source Index NPSI?,Non-Point Source Index NPSI is an econometric model used to analyze the relationship between land use and water quality It utilizes a Bayesian Networks Modeling BNM to encrypt lake water quality data,,,
,,What is expressed in the equation of NPSI?,"The equation of NPSI expresses the relationship between land use area % and water quality, where NPSi indicates the water quality factors and Î² indicates the correlation between land use area % and water quality",,,
,,What is the meaning of a positive correlation coefficient with respect to water quality and land use?,A positive correlation coefficient between water quality factors and land use types indicates that this land use type outputs pollutants,,,
,,What is Relative Humidity Index RHI and what does it signify?,"Relative Humidity Index RHI characterizes the dryness and wetness of the surface The smaller the relative humidity index, the drier the surface; otherwise, the wetter the surface",,,
,,What are the five groups of drought classification according to RHI meteorological drought method?,"The drought degree is divided into five groups - no drought -040 < RHI, light drought -065 < RHI â‰¤ -040, moderate drought -080 < RHI â‰¤ -065, heavy drought -095 < RHI â‰¤ -080, and special drought RHI â‰¤ -095",,,
,,"How can combining field stations, remote sensing and machine learning help improve the prediction accuracy of climate warming and agricultural land expansion on the fish catch variation?","Combining field stations, remote sensing and machine learning can effectively improve the prediction accuracy of climate warming and agricultural land expansion on the fish catch variation by treating high frequent hydro-meteorological factors captured from gauging stations and water quality factors calculated by NPSI based on remote sensing as",,,
,,What is the relationship between land use type and water quality?,The increase of agricultural land use ALU was found to be the key factor causing the deterioration of lake water quality,,,
,,What is the equation used to describe the relationship between ALU and lake water quality?,Equation 2 was used to describe the relationship between ALU and lake water quality,,,
,,What is the equation for the lnTN for a Paddy Field?,lnTN = âˆ’ 0038W + 0150P + 0029B âˆ’ 0070G + 0028C + 0115U âˆ’ 0399M + 1920,,,
,,What is the equation for the lnChla for a Marsh?,lnChla = 0215W + 0345P + 0004B âˆ’ 0164G + 0029C + 0723U âˆ’ 0540M âˆ’ 1225,,,
,,What percentage of catch reduction was used as a target for the simulation?,A 35% catch decrease was used as the simulation target,,,
,,What is the Bayesian Network Model BNM used to identify?,The BNM is used to identify the driven factors and processes on fish catch in Chagan Lake,,,
,,How did the average ATP and WTP change from 2004 to 2019?,The average ATP and WTP was slightly increased from 2004 to 2019,,,
,,"What were the effects of the climate, agricultural land use driving factors and lake environmental factors on fish catch?","The effects of the climate, agricultural land use driving factors and lake environmental factors on fish catch differed significantly in different sites Specifically, among the 8 factor pairs, seven of them showed consistent directional relationships in the study",,,
,,What are the factors correlated with lake water environment?,The factors correlated with lake water environment are in green-rectangular boxes,,,
,,How is fishing effort characterized?,Fishing effort is characterized by the number of times of network operation,,,
,,What kind of impact does ATP have on the fish catch?,"ATP has a strong effect on the fish catch through WTP and ALG A 35% drop in fish catch was associated with higher WTP due to rising ATP in some sites, and a decrease in fish catch was associated with lower WTP due to colder ATP in other sites",,,
,,What is the average temperature range associated with the changes in fish catch due to ATP?,"The average temperature range associated with the changes in fish catch due to ATP is 08â€“35â„ƒ higher than the observed average value 614â„ƒ in some sites, and 05â€“135â„ƒ lower than the average value of 614â„ƒ in other sites",,,
,,"What was the negative correlation between ATP and catch observed in sites 1, 2, 8?","The negative correlation between ATP and catch observed in sites 1, 2, 8 was lower than other sites",,,
,,How did the RHI affect fish catch indirectly?,"RHI affected fish catch indirectly by directly affecting WLV, EUT and ALG",,,
,,What was the main development in land use in Chagan Lake catchment during 2004â€“2019?,The main development in land use in Chagan Lake catchment during 2004â€“2019 was Increase in ALU,,,
,,What effect did increased ALG have on fish catch?,Increased ALG caused a 35% decline in fish catch as it was directly correlated with the increase in EUT and ALG,,,
,,What effect did WLV have on the catch?,"The effect of WLV on the catch was lower than that of ETU and ALG in most of sites, leading to a 2698% of fish catch decrease",,,
,,What were the two scenarios performed to analyze the changes in lake fish catch?,The two scenarios performed were the change in fish catch under the increase of atmospheric temperature gradient and the change in lake fish catch under increasing agricultural land use,,,
,,How did climate and land use change impact fish catch at nine sites in Chagan Lake from 2004-2019?,Climate and land use change had both positive and negative impacts on fish catch at nine sites in Chagan Lake from 2004-2019,,,
,,What was the time evolution trend of multiple environmental factors during 2004â€“2019?,"Wet season was from May to October and dry season was from November to April The study found that climate or land use drivers ATP, RHI, or ALU had relatively consistent effects on lake environmental factors WTP, WLV, EUT, and ALG",,,
,,What is the maximum increase in ATP in the model?,The maximum increase in ATP in the model was 35 â—¦C above the 2004â€“2019 average,,,
,,What is the optimum temperature range for fish growth?,The optimum temperature range for fish growth is 20â€“30 â—¦C,,,
,,What factors have led to an increase in lake eutrophication?,Warm and dark waters have led to increased lake eutrophication,,,
,,What effect does ATP have on fish catch in Chagan Lake?,"ATP has a varying effect on fish catch in Chagan Lake, depending on simulated factors such as WTP, WLV, EUT, and ALG",,,
,,How has Chagan Lake been affected by climate change?,"Chagan Lake has been warmer and darker in recent years due to climate change and increases of total suspended solids Liu et al, 2021",,,
,,What is the significance of assessing changes in RHI?,"By assessing changes in RHI associated with changes in WLV, the two factors are positively correlated, and consistent with water balance Yan et al, 2012 This can help evaluate semi-arid and arid regions due to evaporation being more pronounced in lake environments Fan et al, 2020; Wu et al, 2021",,,
,,What might be the impact of increased PRE in high-latitude regions on Chagan Lake fish catch?,"The RHI in the Chagan Lake catchment may increase in the future, but would not reduce the fish catch",,,
,,What are the potential impacts of the expansion of agricultural land use on lake fisheries?,"The expansion of agricultural land use would reduce the tolerance range of lake fish catch to climate warming through changes in EUT and ALG Additionally, increased ALU did not necessarily lead to an increase or decrease in EUT or ALG at four of the nine sites",,,
,,What were the common inconsistencies of impacts between agricultural area and lake nutrients and algae found around the world?,"Inconsistencies of impacts between agricultural area and lake nutrients and algae were common around the world, according to Wurtsbaugh et al 2019",,,
,,What exacerbated the effects of agricultural land use ALU on lakes' Eutrophication EUT and algae ALG?,Urbanization rates exacerbated the effects of ALU on lakes' EUT and ALG by increasing nutrient input according to Yasuhara et al 2007 and Savage et al 2010,,,
,,How do changes in ALU affect fish catch in the Chagan Lake?,Changes in ALU would lead to a decrease in fish catch in Chagan Lake due to the non-uniform changes in EUT and ALG,,,
,,What evidence is there that ATP and catch are correlated?,"The correlation between ATP and catch is represented by the dashed line dividing the association into 'positive', 'mixed', and 'negative' The wider the arrow in h, the stronger the correlation between the two influence factors Additionally, Supplementary Data 1 provides source data to provide further evidence of the correlation",,,
,,How much is the recommended increase in ALU based on comparison between 2013 and 2019 and 2004â€“2011?,"The recommended increase in ALU should not exceed 1441%, in terms of percentage of catchment area",,,
,,What could be the possible explanation for the lack of consistent responses between catch and environmental factors?,"One possible explanation could be that different fish had different food sources, resulting in different degrees of ALG impact on catches",,,
,,What can be done to improve the accuracy of the model?,The accuracy of the model can be improved by fusing measured data and remote sensing data which would provide all the data requirements by the model,,,
,,What influences the direction of the effects of WTP on fish growth and reproduction?,"The direction of effects of WTP on fish growth and reproduction is dependent on the thermal environment of the lake as a whole, the heat tolerance of the fish itself and the temperature increase threshold",,,
,,What changes were made to the correlation coefficient between the driving layer and the response layer?,The correlation coefficient between the driving layer and the response layer was corrected and the role of RHI was increased instead of precipitation in order to improve the simulation accuracy of the model for semi-arid regions,,,
